Stock Name,Date,Open,High,Low,Close,Adj Close,Volume
HDFCLIFE,27-04-2020,459,491.399994,459,484.75,484.75,5612310
HDFCLIFE,28-04-2020,495,496.600006,471.149994,486.149994,486.149994,5790711
HDFCLIFE,29-04-2020,488,505.200012,484.75,492.850006,492.850006,4230028
HDFCLIFE,30-04-2020,500,510.700012,493.149994,501.049988,501.049988,3751397
HDFCLIFE,04-05-2020,489,489,472.100006,478.950012,478.950012,2476309
HDFCLIFE,05-05-2020,483,489.899994,475.149994,477.549988,477.549988,2499854
HDFCLIFE,06-05-2020,478,499,469.450012,491,491,5449822
HDFCLIFE,07-05-2020,489.700012,502,488.899994,494.549988,494.549988,2443348
HDFCLIFE,08-05-2020,499.700012,527.349976,499,520.049988,520.049988,9179719
HDFCLIFE,11-05-2020,529.75,539,522.5,525.200012,525.200012,5445590
HDFCLIFE,12-05-2020,521.450012,536.599976,517.299988,526.799988,526.799988,3693348
HDFCLIFE,13-05-2020,533,538,515,516.75,516.75,3651773
HDFCLIFE,14-05-2020,515,523,491.399994,495,495,4151383
HDFCLIFE,15-05-2020,499.100006,501,485,487.299988,487.299988,3513975
HDFCLIFE,18-05-2020,487.299988,490.899994,464,469.350006,469.350006,4108131
HDFCLIFE,19-05-2020,475,485.950012,465.25,471.75,471.75,5129782
HDFCLIFE,20-05-2020,474.149994,482.75,472.5,479.25,479.25,3112785
HDFCLIFE,21-05-2020,480,496.549988,480,493.799988,493.799988,4216268
HDFCLIFE,22-05-2020,493,504.700012,490.299988,494.75,494.75,4602359
HDFCLIFE,26-05-2020,502,514.900024,497,507.450012,507.450012,4215615
HDFCLIFE,27-05-2020,506.799988,510,495.25,503.299988,503.299988,1859456
HDFCLIFE,28-05-2020,506,523.299988,501.450012,516.799988,516.799988,3346486
HDFCLIFE,29-05-2020,516.400024,540.799988,511.75,523.200012,523.200012,27246641
HDFCLIFE,01-06-2020,521,528.650024,513.349976,516.099976,516.099976,3151262
HDFCLIFE,02-06-2020,516,522.25,497,499.700012,499.700012,5909622
HDFCLIFE,03-06-2020,502.100006,519.75,494.450012,501.350006,501.350006,13732855
HDFCLIFE,04-06-2020,521.150024,524.950012,512.299988,517.599976,517.599976,11739480
HDFCLIFE,05-06-2020,517.599976,521.25,511.700012,516.25,516.25,3558200
HDFCLIFE,08-06-2020,520,529.799988,516.25,522.049988,522.049988,8429754
HDFCLIFE,09-06-2020,525,531,501.5,506.850006,506.850006,9173485
HDFCLIFE,10-06-2020,507.450012,507.950012,499,501.700012,501.700012,3358845
HDFCLIFE,11-06-2020,500,509.5,497,501.649994,501.649994,2482917
HDFCLIFE,12-06-2020,488,504.149994,486.25,502.299988,502.299988,8115108
HDFCLIFE,15-06-2020,507.899994,507.899994,495.299988,499.899994,499.899994,3620015
HDFCLIFE,16-06-2020,505,510.700012,497,505.700012,505.700012,3578749
HDFCLIFE,17-06-2020,506,508.700012,498.549988,500.399994,500.399994,1857859
HDFCLIFE,18-06-2020,500,517.900024,498.649994,515.950012,515.950012,4083990
HDFCLIFE,19-06-2020,517.950012,524,514.349976,521.099976,521.099976,4569531
HDFCLIFE,22-06-2020,524.950012,525.799988,514.549988,520.400024,520.400024,2765644
HDFCLIFE,23-06-2020,524.25,544.599976,520.400024,537.049988,537.049988,5813424
